item;type;poids_g;longueur_cm;largeur_cm;couleur;saveur
banane;fruit;134,45;16,86;4,57;jaune;sucré
banane;fruit;110,05;20,66;3,57;jaune;sucré
pomme;fruit;188,38;6,76;7,15;jaune;acide
pomme;fruit;177,04;6,5;6,89;vert;sucré
banane;fruit;147,0;19,98;4,29;;sucré
courgette;légume;422,9;22,97;5,88;vert;amer
kiwi;fruit;67,85;6,5;4,96;vert;acide
banane;fruit;126,12;20,26;4,06;jaune;sucré
tomate;légume;128,02;6,14;5,54;rouge;acide
banane;fruit;145,46;21,65;4,19;jaune;sucré
concombre;légume;370,44;20,42;5,17;vert;neutre
tomate;légume;103,87;5,98;5,89;rouge;acide
banane;fruit;132,08;20,41;3,49;jaune;sucré
orange;fruit;167,02;7,78;8,24;orange;sucré
carotte;légume;66,98;23,59;3,64;orange;neutre
kiwi;fruit;71,56;6,42;5,08;jaune;acide
kiwi;fruit;71,98;6,14;5,09;jaune;acide
tomate;légume;120,33;7,04;6,71;rouge;acide
tomate;légume;99,21;5,33;6,58;rouge;acide
concombre;légume;283,92;22,56;5,31;vert;neutre
tomate;légume;97,5;5,38;5,26;rouge;acide
courgette;légume;278,85;26,28;6,25;vert;amer
banane;fruit;129,51;;3,93;jaune;sucré
kiwi;fruit;79,68;6,92;5,43;jaune;acide
courgette;légume;483,9;24,13;5,63;vert;amer
courgette;légume;347,05;27,58;6,7;vert;amer
orange;fruit;165,81;7,86;8,17;orange;acide
tomate;légume;113,34;5,96;5,26;rouge;acide
concombre;légume;364,91;23,44;4,73;vert;neutre
carotte;légume;84,74;;3,71;orange;neutre
tomate;légume;126,77;6,03;;rouge;acide
courgette;légume;380,28;21,41;6,14;vert;amer
courgette;légume;336,42;24,15;5,04;vert;amer
courgette;légume;399,9;18,21;7,25;vert;amer
pomme;fruit;170,41;7,05;6,67;rouge;sucré
orange;fruit;168,41;9,69;7,94;orange;sucré
courgette;légume;308,17;27,17;6,63;vert;amer
pomme;fruit;164,84;6,96;7,57;vert;sucré
carotte;légume;114,32;16,76;3,37;orange;neutre
pomme;fruit;172,69;;6,86;jaune;sucré
pomme;fruit;169,09;7,78;5,92;rouge;sucré
pomme;fruit;;6,59;6,9;;sucré
carotte;légume;86,06;14,33;3,13;orange;neutre
orange;fruit;173,75;7,53;8,94;orange;acide
orange;fruit;162,26;7,92;7,57;orange;acide
pomme;fruit;174,84;6,66;6,4;rouge;acide
orange;fruit;;9,07;8,09;orange;acide
pomme;fruit;175,34;7,11;7,27;vert;acide
banane;fruit;;19,31;3,3;jaune;sucré
concombre;légume;336,38;21,25;5,38;vert;
carotte;légume;103,53;;3,1;orange;neutre
concombre;légume;;19,12;5,09;vert;
orange;fruit;167,38;8,02;7,72;orange;acide
orange;fruit;164,55;8,41;8,16;orange;acide
carotte;légume;76,31;18,82;3,14;orange;neutre
banane;fruit;142,86;20,23;4,21;jaune;sucré
kiwi;fruit;86,09;6,4;4,75;jaune;acide
tomate;légume;;6,1;6,71;rouge;acide
concombre;légume;333,09;22,76;4,78;vert;
courgette;légume;317,24;24,89;6,01;vert;amer
courgette;légume;279,54;23,18;6,29;vert;amer
pomme;fruit;160,36;6,34;7,38;rouge;sucré
carotte;légume;90,46;15,36;2,55;orange;neutre
tomate;légume;118,61;5,77;6,26;rouge;acide
concombre;légume;317,39;22,95;4,6;vert;neutre
courgette;légume;360,74;22,88;5,07;vert;amer
orange;fruit;155,07;7,92;7,45;orange;acide
concombre;légume;256,93;21,3;5,13;vert;neutre
courgette;légume;269,76;23,3;4,83;vert;amer
courgette;légume;202,98;25,31;6,12;vert;amer
courgette;légume;425,94;24,16;6,97;vert;amer
orange;fruit;163,57;8,34;8,09;orange;acide
concombre;légume;284,6;22,66;4,96;vert;
concombre;légume;274,59;19,62;4,69;vert;neutre
courgette;légume;366,39;23,82;6,59;vert;amer
concombre;légume;249,68;23,46;5,47;vert;neutre
carotte;légume;102,04;16,88;3,73;orange;neutre
orange;fruit;150,06;8,14;7,53;orange;acide
orange;fruit;164,53;;8,04;orange;acide
banane;fruit;116,5;20,61;4,18;jaune;sucré
pomme;fruit;175,39;6,4;6,87;jaune;sucré
orange;fruit;174,5;;7,34;orange;sucré
carotte;légume;77,75;18,74;2,84;orange;neutre
tomate;légume;95,06;5,64;5,7;rouge;acide
tomate;légume;116,12;5,92;6,4;;acide
banane;fruit;142,56;18,66;3,93;jaune;sucré
banane;fruit;146,25;19,92;4,49;jaune;sucré
kiwi;fruit;;5,3;4,65;vert;acide
kiwi;fruit;72,2;6,52;5,27;jaune;acide
banane;fruit;152,57;19,54;3,97;jaune;sucré
pomme;fruit;179,71;6,76;7,79;vert;acide
